link,directory
http://www1.folha.uol.com.br/internacional/en/brazil/2017/05/1882779-judge-orders-suspension-of-activities-of-the-lula-institute.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilJudgeSuspendsActivitiesofEx-presidentsLulaInstitute
http://www1.folha.uol.com.br/internacional/en/brazil/2017/05/1883050-in-front-of-judge-moro-former-president-lula-denies-ownership-of-triplex-apartment.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilsEx-presidentLulaDeniesOwnershipofTriplexApartment
http://www1.folha.uol.com.br/internacional/en/brazil/2017/05/1885102-amid-shouts-of-out-with-temer-opposition-seeks-impeachment-and-direct-elections.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/AmidShoutsofOutwithTemerOppositionSeeksImpeachmentandDirectElections
http://www1.folha.uol.com.br/internacional/en/brazil/2017/05/1885115-brazilian-government-cornered-after-conversation-between-president-temer-and-businessman.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilianGovernmentCorneredafterConversationbetweenPresidentandBusinessmanLeaked
http://www1.folha.uol.com.br/internacional/en/brazil/2017/05/1885128-president-temer-confirms-meeting-with-businessman-but-denies-having-bought-cunhas-silence.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/PresidentTemerConfirmsMeetingwithBusinessmanbutDeniesHavingBoughtCunhasSilence
http://www1.folha.uol.com.br/internacional/en/brazil/2017/05/1885502-brazilian-supreme-court-justice-authorizes-investigation-of-president-temer.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilianSupremeCourtJusticeAuthorizesInvestigationofPresidentTemer
http://www1.folha.uol.com.br/internacional/en/brazil/2017/05/1886237-jbs-had-plea-bargain-class-15-days-before-recording-conversation-with-president-temer.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/JBSHadPleaBargainClass15DaysbeforeRecordingConversationwithPresidentTemer
http://www1.folha.uol.com.br/internacional/en/brazil/2017/05/1886245-michel-temer-i-will-not-resign-they-will-have-to-bring-me-down-if-they-want-to.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/MichelTemerIWillNotResignIfTheyWanttoTheyWillHavetoBringMeDown
http://www1.folha.uol.com.br/internacional/en/brazil/2017/05/1886896-allied-political-parties-await-removal-of-president-temer-while-planning-for-succession.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/AlliedPoliticalPartiesAwaitRemovalofPresidentTemerwhilePlanningforSuccession
http://www1.folha.uol.com.br/internacional/en/brazil/2017/11/1933424-president-temer-admits-that-the-social-security-reform-bill-may-not-be-put-to-a-vote.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/PresidentTemerAdmitsthattheSocialSecurityReformBillMayNotBePuttoaVote
http://www1.folha.uol.com.br/internacional/en/brazil/2017/11/1935010-rightwing-advance---brazilian-nationalist-raises-fears-of-populist-presidency.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/RightwingAdvance-BrazilianNationalistRaisesFearsofPopulistPresidency
http://www1.folha.uol.com.br/internacional/en/business/2014/11/1554610-incoming-brazilian-finance-minister-to-tighten-fiscal-policy.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/IncomingBrazilianFinanceMinistertoTightenFiscalPolicy
http://www1.folha.uol.com.br/internacional/en/business/2015/01/1582728-brazilian-government-registers-first-deficit-in-current-accounts-since-1997.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilianGovernmentRegistersFirstDeficitinCurrentAccountsSince1997
http://www1.folha.uol.com.br/internacional/en/business/2015/02/1595633-rousseff-cuts-spending-and-plans-to-increase-taxes.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/RousseffCutsSpendingandPlanstoIncreaseTaxes
http://www1.folha.uol.com.br/internacional/en/business/2015/05/1626360-brazils-former-finance-minister-tried-to-hide-loss-account-of-petrobras.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilsFormerFinanceMinisterTriedtoHideLossAccountofPetrobras
http://www1.folha.uol.com.br/internacional/en/business/2015/06/1641321-inflation-in-may-is-atypical-and-very-concerning-says-rousseff.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/InflationIsAtypicalandVeryConcerningSaysRousseff
http://www1.folha.uol.com.br/internacional/en/business/2015/07/1662766-brazils-treasury-reports-r-16-billion-fiscal-debt-in-first-half-of-2015.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilsTreasuryReportsR1.6BillionFiscalDebtinFirstHalfof2015
http://www1.folha.uol.com.br/internacional/en/business/2015/12/1717763-brazils-finance-minister-warns-he-will-leave-office-if-the-2016-fiscal-target-isnt-met.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilsFinanceMinisterWarnsHeWillLeaveOfficeifthe2016FiscalTargetIsntMet
http://www1.folha.uol.com.br/internacional/en/business/2015/12/1717770-brazils-minister-of-agriculture-throws-wine-in-senators-face-at-dinner.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilsMinisterofAgricultureThrowsWineinSenatorsFaceatDinner
http://www1.folha.uol.com.br/internacional/en/business/2016/04/1756357-we-want-to-raise-r-12-billion-to-get-past-the-storm-says-odebrecht-president.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/WeWanttoRaiseR12BilliontoGetPasttheStormSaysOdebrechtPresident
http://www1.folha.uol.com.br/internacional/en/business/2016/05/1773278-pedro-parente-ex-fernando-henrique-cardoso-minister-to-head-petrobras.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/PedroParenteExFernandoHenriqueCardosoMinisterToHeadPetrobras
http://www1.folha.uol.com.br/internacional/en/culture/2016/02/1738603-berlinale-opens-with-brazilian-films-that-evade-stereotypes.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BerlinaleOpenswithBrazilianFilmsthatEvadeStereotypes
http://www1.folha.uol.com.br/internacional/en/saopaulo/2016/06/1786805-suspicious-military-police-and-municipal-guard-action-results-in-death-of-university-student-in-sao-paulo.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/SuspiciousMilitaryPoliceandMunicipalGuardActionResultsinDeathofUniversityStudentinSãoPaulo
http://www1.folha.uol.com.br/internacional/en/saopaulo/2017/03/1871178-woman-creates-system-and-husband-writes-books-by-blinking-his-eyes.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/WomanCreatesSystemandHusbandWritesBooksbyBlinkingHisEyes
http://www1.folha.uol.com.br/internacional/en/sports/2015/08/1665699-swimmer-etiene-medeiros-earns-brazils-first-world-championships-medal-among-women.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/SwimmerEtieneMedeirosEarnsBrazilsFirstWorldChampionshipsMedalAmongWomen
http://www1.folha.uol.com.br/internacional/en/sports/2016/06/1782272-with-a-weakened-cbf-tite-becomes-the-coach-of-the-brazilian-soccer-team-and-appoints-colleagues-to-coaching-staff.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/WithaWeakenedCBFTiteBecomestheCoachoftheBrazilianSoccerTeamandAppointsColleaguestoCoachingStaff
http://www1.folha.uol.com.br/internacional/en/sports/2016/09/1815070-ex-coach-of-the-brazilian-football-team-mano-menezes-says-football-problems-are-structural.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Ex-CoachoftheBrazilianFootballTeamManoMenezesSaysFootballProblemsAreStructural
http://www1.folha.uol.com.br/internacional/en/sports/2016/10/1824925-olympic-swimmer-ana-marcela-cunha-to-have-spleen-removed-due-to-illness.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/OlympicSwimmerAnaMarcelaCunhaToHaveSpleenRemovedDuetoIllness
http://www1.folha.uol.com.br/internacional/en/sports/2016/11/1833344-brazil-soccer-coach-tite-praised-just-like-predecessors.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilSoccerCoachTitePraisedJustLikePredecessors
http://www1.folha.uol.com.br/internacional/en/world/2015/04/1618784-rousseffs-visit-signals-the-return-of-productive-relations-says-obamas-advisor.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/RousseffsVisitSignalstheReturnofProductiveRelationsSaysObamasAdvisor
http://www1.folha.uol.com.br/internacional/en/world/2015/06/1648115-my-story-brazilian-lawyer-defends-central-american-immigrants-in-the-us.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/MyStoryBrazilianLawyerDefendsCentralAmericanImmigrantsintheU.S.
http://www1.folha.uol.com.br/internacional/en/world/2016/07/1789036-brazilian-foreign-minister-suggests-postponing-transfer-of-mercosur-presidency-to-venezuela.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilianForeignMinisterSuggestsPostponingTransferofMercosurPresidencytoVenezuela
http://www1.folha.uol.com.br/internacional/en/world/2017/06/1894329-government-breaks-protocol-blowing-cover-of-cia-chief-in-brazil.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/GovernmentBreaksProtocolBlowingCoverofCIAChiefinBrazil
http://www1.folha.uol.com.br/internacional/en/world/2017/07/1899250-putin-was-a-mediocre-kgb-agent-according-to-former-boss.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/PutinWasaMediocreKGBAgentAccordingtoFormerBoss
http://www1.folha.uol.com.br/internacional/en/world/2017/08/1912944-leader-of-temers-coalition-in-the-senate-calls-to-deny-entry-to-venezuelans-seeking-asylum.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/LeaderofTemersCoalitionintheSenateCallstoDenyEntrytoVenezuelansSeekingAsylum
http://www1.folha.uol.com.br/internacional/en/world/2017/08/1913927-brazil-accommodated-ambassador-accused-of-war-crimes-for-nearly-two-years.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/SriLankanAmbassadorAccusedofWarCrimesWorkedinBrazilforNearlyTwoYears
