link,directory
http://www.bbc.com/news/blogs-trending-39205935,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Therobotlawyer’givingfreelegaladvicetorefugees
http://www.bbc.com/news/blogs-trending-39278010,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/TroubledgoldfishgetsitsowncustomisedwheelchairandTrumptakesonSnoopDogg
http://www.bbc.com/news/blogs-trending-39351853,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/ThecooldoghelpingkidswithvitiligoandSingaporesselectivedatingapp
http://www.bbc.com/news/blogs-trending-39490637,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/ArabTVstationpullswomenscampaignandtheappropriatedLGBTrainbow
http://www.bbc.com/news/blogs-trending-39639834,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/PatrickthewombatdiesandZaracriticisedforPepeskirt
http://www.bbc.com/news/blogs-trending-39997949,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/FireburnandcauldronbubbleTrumpandtheglowingorb
http://www.bbc.com/news/blogs-trending-40173553,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/JustinTrudeau-CanadasPMpaddlesoverforachat
http://www.bbc.com/news/blogs-trending-40271663,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/LondonfireBedsteaandliftsfortowerblockvictims
http://www.bbc.com/news/blogs-trending-40299919,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/MemesmockTwittersmajorredesign
http://www.bbc.com/news/blogs-trending-40326003,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/SyriantownbreaksRamadanfastwithIftaramongrubble
http://www.bbc.com/news/blogs-trending-40340620,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/PeterCrouchjokesaboutgiraffegenesinholidaysnap
http://www.bbc.com/news/blogs-trending-40775490,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/WhyareIraniansjokingaboutonionprices
http://www.bbc.com/news/health-42009932,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Dogownershiplowersearlydeathriskstudyfinds
http://www.bbc.com/news/technology-15969065,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/TheBBCMicrocomputerandme30yearsdowntheline
http://www.bbc.com/news/technology-38364076,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/ComputingGCSEleavesgirlsandpoorerstudentsbehind
http://www.bbc.com/news/technology-39803425,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/NasarunscompetitiontohelpmakeoldFortrancodefaster
